acc : 0.8107798165137615
pred	gold
0	0
1	1
1	0
1	0
0	0
1	1
0	0
0	0
0	0
0	0
1	0
0	0
1	0
0	0
0	0
0	0
1	1
0	1
0	0
0	0
0	0
1	1
1	1
0	0
1	0
0	0
0	0
0	0
0	0
1	0
1	1
1	1
0	0
1	1
1	0
1	1
1	1
0	1
0	0
1	1
0	0
1	1
0	1
0	0
1	1
1	0
0	0
0	0
1	0
1	1
0	1
0	1
1	1
1	1
1	1
1	0
1	1
0	0
0	1
1	0
0	0
1	1
1	1
0	0
1	1
0	0
1	1
0	0
1	1
1	1
0	0
0	1
1	1
0	0
0	0
0	0
1	1
0	0
0	0
1	0
0	0
0	0
0	0
1	1
0	1
0	0
1	1
1	0
1	1
0	0
0	0
1	1
1	1
1	1
1	1
1	1
0	0
1	1
1	0
0	1
0	0
0	1
1	1
1	1
0	0
1	1
0	1
1	1
1	1
0	0
0	0
1	1
1	1
0	1
1	1
0	0
1	0
0	0
0	0
0	1
0	0
0	0
0	0
1	0
1	1
1	1
1	1
0	1
1	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
1	1
0	0
0	0
0	0
0	0
0	0
1	1
0	0
0	0
1	1
1	1
1	0
1	1
1	1
0	0
1	1
0	0
1	1
1	1
0	0
1	1
1	1
0	0
0	0
0	0
1	0
0	0
1	0
0	0
1	1
1	1
1	1
1	1
1	1
0	1
0	0
1	1
0	0
1	1
1	1
1	0
0	1
0	0
0	0
0	0
0	1
1	1
1	1
0	0
1	0
1	1
0	0
0	1
0	0
1	1
1	1
0	0
0	0
1	1
1	1
1	1
1	1
0	0
0	0
1	1
1	1
1	0
0	0
0	0
1	1
1	1
1	0
1	1
0	0
1	1
1	1
1	1
0	1
0	0
0	0
1	1
0	0
0	0
1	0
1	1
1	1
1	1
0	0
1	1
0	0
0	0
1	1
0	0
1	0
0	0
1	1
1	0
1	0
1	1
1	1
1	1
1	1
1	1
0	0
1	1
1	0
0	0
1	1
1	1
1	1
1	0
0	0
1	1
1	1
0	0
1	1
1	0
1	1
1	1
0	0
0	0
1	0
0	1
1	1
0	0
0	0
1	1
1	1
0	0
1	1
0	0
0	0
1	0
1	1
1	0
0	0
0	0
1	0
0	0
0	1
1	1
1	1
1	1
1	0
0	0
1	1
1	0
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	0
1	0
0	0
0	1
1	1
0	0
1	1
0	0
0	0
1	1
